No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
68,Fight Club (1999),An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,9.6,0,0,0,7.6,0,0,0,0,9.3,7.4,0,0,8.7
69,Inception (2010),"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",9.3,0,8.3,0,0,0,9.2,6.5,0,9.7,0,0,0,8.7
70,The Matrix (1999),"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",9.5,0,0,0,0,0,9.8,0,0,0,0,0,0,8.7
71,Jurassic World Dominion (2022),"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",6,0,7,0,6,7,6,0,0,0,0,8,0,5.7
72,The Iron Giant (1999),A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8,9,8,0,0,0,0,0,0,0,0,0,0,8.1
73,Star Wars (1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",9.6,0,9.3,0,0,0,0,8.7,0,0,0,0,0,8.6
74,Aladdin (1992),A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",0,0,8,7.6,8.4,6.2,0,7.4,0,0,0,0,0,8
75,Life of Brian (1979),"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",8.3,7.9,0,0,7.6,0,0,0,0,0,0,0,0,8
76,Black Panther (2018),"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",8,9,0,0,8,0,9,7,0,0,0,0,0,7.3
77,Justice League (2017),"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",8.3,7.6,0,0,7.4,0,8.6,0,0,0,0,0,0,6.1
78,Sonic the Hedgehog 2 (2022),"When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",7,8,7,0,0,0,9,0,0,0,0,10,0,6.5
79,Jumanji: Welcome to the Jungle (2017),"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",7,0,10,7,8,7,0,0,0,0,0,0,0,6.9
80,Pinocchio (I) (2022),"A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy.",0,0,10,0,10,0,9,9,0,0,0,0,0,5.1
81,Scooby-Doo (2002),"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",0,0,7,7,8,6,5,9,5,9,8,0,0,5.2
82,Star Wars: Episode IV - A New Hope (1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",9,9,0,0,0,0,9,8,0,0,0,0,0,8.6
83,Twilight (I) (2008),"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",0,0,0,0,9,7,0,9,8,0,0,0,0,5.3
84,Shazam! (2019),A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,8,9,0,7,6,0,0,8,0,0,0,0,0,7
85,Coco (2017),"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",0,0,6.8,8.6,7.3,0,0,0,0,0,0,9.4,0,8.3
86,Fantasy Island (2020),"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",0,0,9,0,0,0,0,9,0,0,0,0,0,4.9
87,Spider-Man: Into the Spider-Verse (2018),"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",8,8,0,7,6,0,0,9,0,0,0,0,0,8.4
88,Wonder Woman (2017),"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",9,9,0,0,0,0,0,8,0,0,0,0,0,7.4
89,It (I) (2017),"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",0,0,0,0,0,0,0,0,10,6,0,0,0,7.3
90,Orphan: First Kill (2022),"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family.",0,0,0,0,0,0,0,0,10,0,8,0,0,5.9
91,Saw (2004),"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",0,0,0,0,0,0,0,0,10,8,10,0,0,7.6
92,It Chapter Two (2019),"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",0,0,0,0,0,0,0,0,10,6,0,0,0,6.5
93,28 Days Later... (2002),"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",0,0,0,0,10,0,10,0,9,0,0,0,0,7.5
94,A Quiet Place (2018),"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",0,0,0,0,9,0,8,0,10,0,0,0,0,7.5
95,The Purge (I) (2013),"A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",9,0,0,0,0,0,0,0,8,0,10,0,0,5.7
96,The Babysitter (I) (2017),"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.",0,0,0,8,0,0,0,0,10,0,0,0,0,6.3
97,Busanhaeng (2016),"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",10,0,0,0,10,0,6,0,9,0,0,0,0,7.6
98,World War Z (2013),Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,10,0,8,0,9,0,0,0,8,0,0,0,0,7
99,Friday the 13th: The Final Chapter (1984),"After being announced dead and taken to a morgue, Jason Voorhees spontaneously revives, escapes from the hospital, and stalks a group of friends renting a house in the countryside near Crystal Lake.",0,0,0,0,0,0,0,0,9,0,10,0,0,6
100,Silent Hill (2006),"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",0,0,0,0,0,0,0,0,10,10,0,0,0,6.5
101,Taxi Driver (1976),"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",0,0,0,0,9.4,0,0,0,0,0,9.8,0,0,8.2
